1000	9.901	7.296	4.851
1000	9.733	7.291	4.852
1000	9.785	7.279	4.853
1000	9.818	7.289	4.845
1000	9.765	7.267	4.84
1001	13.148	7.595	4.876
1001	13.285	7.619	4.873
1001	13.265	7.588	4.861
1001	13.25	7.636	4.874
1001	13.169	7.586	4.871
1002	13.011	7.677	4.875
1002	13.154	7.671	4.88
1002	13.045	7.702	4.882
1002	13.019	7.689	4.859
1002	13.152	7.684	4.833
1003	13.123	7.718	4.911
1003	13.099	7.699	4.903
1003	13.175	7.69	4.901
1003	13.127	7.706	4.906
1003	13.134	7.717	4.885
1004	11.136	7.667	4.909
1004	11.164	7.668	4.9
1004	11.082	7.656	4.91
1004	11.157	7.682	4.914
1004	11.189	7.696	4.916
1005	13.279	7.737	4.925
1005	13.46	7.728	4.93
1005	13.322	7.756	4.935
1005	13.244	7.713	4.934
1005	13.261	7.741	4.923
1006	13.487	7.787	4.936
1006	13.345	7.757	4.94
1006	13.184	7.757	4.928
1006	13.36	7.787	4.92
1006	13.326	7.775	4.933
1007	13.521	7.789	4.958
1007	13.516	7.79	4.964
1007	13.576	7.782	4.956
1007	13.476	7.802	4.967
1007	13.535	7.755	4.96
1008	9.79	7.505	4.981
1008	9.825	7.48	4.974
1008	9.852	7.507	4.972
1008	9.794	7.484	4.981
1008	9.752	7.487	4.969
1009	13.766	7.789	4.97
1009	13.563	7.804	4.972
1009	13.557	7.801	4.98
1009	13.589	7.794	4.965
1009	13.475	7.788	4.967
1010	13.605	7.872	5.005
1010	13.672	7.891	4.976
1010	13.66	7.885	4.982
1010	13.586	7.853	4.995
1010	13.439	7.854	4.994
1011	13.834	7.881	5.022
1011	13.69	7.919	5.011
1011	13.644	7.919	4.981
1011	13.765	7.95	5.011
1011	13.725	7.891	5.015
1012	11.201	7.824	5.028
1012	11.198	7.864	5.03
1012	11.2	7.874	5.024
1012	11.241	7.822	5.028
1012	11.221	7.864	5.02
1013	13.711	7.935	5.057
1013	13.88	7.954	5.05
