1000	7.303	6.955	4.555
1000	7.344	6.902	4.567
1000	7.278	6.891	4.539
1000	7.24	6.877	4.548
1000	7.292	6.884	4.559
1001	7.424	6.899	4.576
1001	7.54	6.925	4.559
1001	7.616	6.929	4.542
1001	7.581	6.954	4.542
1001	7.523	6.927	4.571
1002	7.458	6.928	4.575
1002	7.516	6.962	4.588
1002	7.54	6.953	4.59
1002	7.567	6.955	4.584
1002	7.496	6.946	4.583
1003	7.81	6.967	4.596
1003	7.716	7.004	4.599
1003	7.965	6.974	4.565
1003	7.843	6.967	4.589
1003	7.792	6.971	4.579
1004	7.459	6.991	4.612
1004	7.522	6.998	4.605
1004	7.505	7.015	4.601
1004	7.628	7.005	4.591
1004	7.388	6.968	4.603
1005	7.597	7.021	4.631
1005	7.618	7.047	4.607
1005	7.603	7.047	4.589
1005	7.736	6.976	4.62
1005	7.641	6.989	4.629
1006	8.009	7.056	4.625
1006	8.271	7.043	4.644
1006	8.237	7.054	4.594
1006	8.102	7.034	4.624
1006	8.319	7.04	4.645
1007	7.725	7.065	4.654
1007	7.647	7.057	4.614
1007	7.636	7.029	4.619
1007	7.731	7.075	4.66
1007	7.692	7.06	4.669
1008	7.452	7.037	4.67
1008	7.45	7.032	4.653
1008	7.462	7.035	4.668
1008	7.465	7.029	4.646
1008	7.488	7.014	4.664
1009	7.888	7.104	4.68
1009	7.735	7.089	4.664
1009	7.813	7.1	4.686
1009	7.76	7.076	4.683
1009	7.745	7.092	4.687
1010	7.683	7.124	4.695
1010	7.755	7.131	4.683
1010	7.733	7.154	4.689
1010	7.756	7.131	4.697
1010	7.823	7.168	4.7
1011	7.882	7.165	4.707
1011	7.801	7.146	4.699
1011	7.665	7.15	4.698
1011	7.746	7.145	4.712
1011	7.92	7.15	4.698
1012	7.591	7.156	4.724
1012	7.69	7.177	4.729
1012	7.722	7.2	4.718
1012	7.695	7.17	4.721
1012	7.724	7.168	4.684
1013	7.9	7.212	4.741
1013	8.06	7.167	4.739
1013	7.881	7.21	4.733
1013	7.727	7.198	4.735
1013	7.762	7.191	4.716
1014	7.739	7.186	4.745
1014	7.827	7.206	4.751
1014	7.75	7.226	4.752
1014	7.726	7.21	4.752
1014	7.754	7.221	4.728
1015	7.93	7.23	4.716
1015	7.849	7.209	4.76
1015	7.899	7.239	4.77
1015	7.859	7.249	4.774
1015	7.891	7.225	4.77
1016	7.612	7.243	4.781
1016	7.582	7.239	4.759
1016	7.739	7.235	4.775
1016	7.68	7.257	4.772
1016	7.716	7.239	4.759
1017	7.913	7.255	4.778
1017	7.967	7.28	4.765
1017	7.988	7.266	4.799
1017	7.939	7.231	4.796
1017	7.981	7.274	4.79
1018	7.868	7.305	4.811
1018	7.915	7.299	4.799
1018	8.043	7.313	4.803
1018	7.958	7.324	4.81
1018	7.896	7.316	4.804
1019	8.055	7.369	4.815
1019	7.935	7.32	4.803
1019	7.981	7.329	4.801
1019	8.024	7.328	4.828
1019	8.11	7.325	4.824
1020	7.764	7.353	4.841
1020	7.855	7.37	4.838
1020	7.789	7.365	4.839
1020	7.826	7.351	4.807
1020	7.807	7.354	4.837
1021	8.248	7.375	4.847
1021	8.118	7.385	4.842
1021	8.167	7.337	4.844
1021	7.987	7.382	4.855
1021	8.045	7.385	4.848
1022	7.911	7.455	4.866
1022	8.009	7.445	4.869
1022	7.986	7.415	4.837
1022	7.999	7.446	4.858
1022	8.045	7.454	4.861
1023	8.065	7.831	4.877
1023	8.131	7.86	4.876
1023	8.179	7.837	4.868
1023	8.181	7.859	4.885
1023	8.126	7.857	4.884
1024	10.898	9.511	4.893
1024	12.282	9.566	4.872
1024	10.08	9.551	4.872
1024	10.986	9.494	4.892
1024	12.421	9.534	4.871
1025	8.034	7.855	4.912
1025	8.278	7.877	4.913
1025	8.188	7.856	4.91
1025	8.09	7.87	4.914
1025	8.198	7.893	4.902
1026	7.995	7.551	4.915
1026	8.196	7.52	4.914
1026	8.085	7.555	4.914
1026	7.967	7.545	4.928
1026	8.191	7.534	4.932
1027	8.381	7.464	4.934
1027	8.291	7.487	4.941
1027	8.37	7.469	4.929
1027	8.319	7.462	4.942
1027	8.331	7.483	4.938
1028	8.003	7.447	4.94
1028	7.969	7.46	4.926
1028	8.089	7.426	4.949
1028	8.109	7.44	4.933
1028	7.995	7.452	4.934
1029	8.309	7.46	4.965
1029	8.201	7.454	4.949
1029	8.306	7.47	4.954
1029	8.313	7.455	4.97
1029	8.234	7.477	4.963
1030	8.351	7.466	4.986
1030	8.297	7.47	4.989
1030	8.228	7.466	4.953
1030	8.108	7.482	4.972
1030	8.315	7.489	4.966
1031	8.318	7.504	4.997
1031	8.39	7.504	4.999
1031	8.316	7.49	4.991
1031	8.464	7.494	4.954
1031	8.414	7.474	5.002
1032	8.05	7.518	5.014
